Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Project_Name,Start_Date,Cost_Variance,PlannedCost,Updated_Date,Planned_Duration,Project_delay,Start_days_after_2000
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),657,Virtualization,2011-10-01,0.0,0.179,60,182.0,0.0,4291
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),661,ePermits O&M FY11 Part 1.,2011-04-01,0.3641,1.8205,426,182.0,0.0,4108
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),662,ePermits O&M FY12 Part 1,2012-04-01,0.0,1.713,60,182.0,0.0,4474
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),664,BRS Field Reports Phase 2,2010-12-31,0.0,0.01,265,90.0,0.0,4017
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,665,Enterprise Management,2010-10-01,0.0,46.96,356,364.0,0.0,3926
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,666,VoIP Riverdale,2011-08-15,0.0,0.662,290,259.0,0.0,4244
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,668,Telecom,2011-09-06,2.0244,2.41,268,178.0,294.0,4266
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,669,Enterprise Software license optimization,2011-10-03,0.0,10.058,241,340.0,0.0,4293
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,670,Hardware Maintenance,2011-11-01,0.0,4.268,242,212.0,0.0,4322
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,671,Enterprise Life Cycle Management,2012-03-01,0.0,2.23,153,176.0,0.0,4443
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1092,Program Loan Accounting System (PLAS),2002-10-01,0.109,1.0,3499,3650.0,2191.0,1004
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1093,Electronic Debt and Loan Restructure System (eDALR$),2002-10-01,0.0,0.35,3499,3650.0,2191.0,1004
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1095,Farm Loan Program Risk Assessment (FLPRA),2002-10-01,0.004,0.1,3499,3650.0,2191.0,1004
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1096,Farm Business Plan (FBP),2002-10-01,0.0,0.44,3499,3650.0,2191.0,1004
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1648,Ongoing maintenance of 26 financial systems within AFAO.,2011-07-01,0.2189,5.9002,397,457.0,0.0,4199
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1649,Maintenance support for FMMI Readiness.,2011-07-01,0.1164,2.3053,397,457.0,0.0,4199
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1650,APLUS Operations and Maintenance,2011-07-01,0.139,0.379,335,457.0,0.0,4199
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1651,GSM Operations and Maintenance,2004-10-01,-0.004,1.109,2799,2921.0,0.0,1735
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),1969,FMMI Deployment 3,2011-10-01,-4.965862,1.8111380000000001,273,182.0,0.0,4291
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),2937,FMMI Deployment 3 Wave 1,2012-04-02,-0.583,1.601,121,59.0,0.0,4475
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3261,FMMI Deployment 3 Wave 2,2012-06-01,0.0,5.09,61,91.0,122.0,4535
005-000001496,229,5,Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,1740,FPA-P2 - Fire Program Analysis System - Phase 2,2005-01-01,0.0,0.735925,2585,2646.0,3106.0,1827
005-000002148,231,5,Department of Agriculture,FSIS Public Health Information Consolidation Projects (PHICP),1746,Public Health Information System,2007-09-27,0.0,0.00225,1615,1821.0,2291.0,2826
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1769,WebTA,2011-06-01,6.489,16.374,272,273.0,0.0,4169
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1770,EmpowHR Migration,2011-06-01,688.454,1071.255,272,273.0,0.0,4169
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1099,eAuthentication,2011-02-14,0.0,0.7,502,319.0,139.0,4062
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1101,FMMI Conversion,2011-08-15,0.0,0.15,197,137.0,306.0,4244
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102,Oracle Discoverer,2011-10-03,0.0,0.35,271,179.0,52.0,4293
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672,FISMA Compliance FY12.,2011-09-01,0.0,0.03,180,212.0,183.0,4261
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673,FTE Support FY12.,2011-02-07,0.0,0.7,386,418.0,183.0,4055
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674,Acquisition Support FY12.,2011-09-01,0.0,1.017,273,395.0,0.0,4261
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1108,"NRM Release 5.7 (February, 2012)",2011-10-01,0.0,6.958,212,151.0,0.0,4291
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1109,"NRM Release 5.8 (May, 2012)",2012-03-01,0.0,4.175,60,91.0,0.0,4443
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1112,FY2011 Year End Reporting,2011-10-01,0.0,0.2,181,91.0,60.0,4291
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1747,eAuth Modernization,2011-01-04,0.0004,2.8474,575,479.0,81.0,4021
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1748,EEMS IDM Readiness,2010-09-03,-0.0005,0.058,668,405.0,17.0,3898
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1749,ePACS: PIV-A,2011-10-01,0.0,0.891,275,75.0,229.0,4291
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1753,Person Model Readiness,2010-09-01,-0.002,0.038,546,400.0,56.0,3896
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1754,FY11-Q1 O&amp;M,2010-10-01,0.097,4.407,516,90.0,1.0,3926
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1755,FY11-Q2 O&amp;M,2011-01-01,0.099,4.407,424,88.0,1.0,4018
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1756,FY11-Q3 O&amp;M,2011-04-01,0.066,4.407,334,90.0,0.0,4108
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1757,FY11-Q4 O&amp;M,2011-07-01,0.0,4.407,243,91.0,0.0,4199
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1758,FY12-Q1 O&amp;M,2011-10-01,0.0,3.3034,151,90.0,1.0,4291
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1759,FY12-Q2 O&amp;M,2012-01-01,0.0,3.3034,151,90.0,0.0,4383
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1760,FY12-Q3 O&amp;M,2012-04-01,0.0,3.3034,122,90.0,0.0,4474
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,1761,FY12-Q4 O&amp;M,2012-07-01,0.0,3.3034,31,91.0,0.0,4565
005-000002224,252,5,Department of Agriculture,USDA Identity &amp; Access Management,2961,PKI 2.0,2011-11-01,0.0,0.123,212,136.0,14.0,4322
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1653,NAIP 2011,2010-10-01,4.0,16.43,515,761.0,0.0,3926
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1655,Support Services 2011,2010-12-01,0.07145,2.2,454,364.0,0.0,3987
005-000000054,271,5,Department of Agriculture,Geographic Information System  (GIS) #84,1656,Support Services 2012,2011-12-01,2.4,2.4,212,365.0,0.0,4352
005-000002276,369,5,Department of Agriculture,Enterprise Human Capital Management (EHCM),1738,Maintenance,2011-10-01,5.3568,7.6778,273,183.0,213.0,4291
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,1765,SR 20092856 DOI - USDA FS Access Authentication,2009-01-06,0.0,300.6,1028,521.0,2743.0,3293
